 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     524.166  5040.095     7.5020E-01      45.513969 -122.690605
     524.784  5040.146     1.2838E+00      45.514408 -122.682693
     524.716  5039.919     1.0710E+00      45.512363 -122.683571
     524.663  5039.629     1.0493E+00      45.509758 -122.684265
     525.444  5039.252     1.1936E+00      45.506336 -122.674286
     524.224  5039.339     1.9010E+00      45.507160 -122.689903
     524.185  5038.587     2.4664E+00      45.500393 -122.690437
     524.331  5038.031     7.7723E-01      45.495384 -122.688599
     523.299  5038.290     9.5425E-01      45.497753 -122.701790
     522.847  5038.045     5.7881E-01      45.495560 -122.707588
     525.760  5036.934     1.1136E+00      45.485462 -122.670364
     525.486  5035.753     1.0556E+00      45.474838 -122.673927
     525.295  5036.642     9.3692E-01      45.482849 -122.676331
     525.169  5037.203     8.2294E-01      45.487904 -122.677910
     524.880  5037.632     1.2263E+00      45.491772 -122.681587
     524.256  5037.185     9.0872E-01      45.487774 -122.689598
     524.878  5035.698     2.4017E+00      45.474369 -122.681709
     524.239  5035.778     3.3280E+00      45.475109 -122.689880
     523.362  5037.124     7.6273E-01      45.487255 -122.701042
     523.532  5036.493     8.7386E-01      45.481571 -122.698898
     525.055  5034.909     8.6380E-01      45.467258 -122.679489
     524.259  5034.722     1.7780E+00      45.465607 -122.689682
     523.601  5034.139     1.3001E+00      45.460381 -122.698128
     526.118  5033.283     1.2194E+00      45.452587 -122.665977
     525.823  5032.050     8.3430E-01      45.441494 -122.669815
     524.416  5033.719     7.2680E-01      45.456573 -122.687721
     522.060  5032.916     1.3763E+00      45.449421 -122.717888
     521.333  5032.750     1.0365E+00      45.447948 -122.727196
     520.784  5031.686     1.4255E+00      45.438389 -122.734261
     522.061  5031.825     9.9127E-01      45.439602 -122.717926
     523.355  5033.125     1.2162E+00      45.451260 -122.701317
     523.875  5031.790     1.1255E+00      45.439224 -122.694733
     520.893  5034.196     1.0828E+00      45.460976 -122.732758
     520.637  5033.007     9.7241E-01      45.450283 -122.736084
     522.733  5034.272     1.0718E+00      45.461605 -122.709221
     522.003  5034.263     2.2285E+00      45.461548 -122.718559
     521.061  5035.329     1.3433E+00      45.471172 -122.730560
     520.436  5035.588     9.4861E-01      45.473518 -122.738548
     523.736  5035.022     4.2833E+00      45.468323 -122.696358
     523.198  5035.373     2.2117E+00      45.471500 -122.703224
     522.165  5035.341     1.2615E+00      45.471245 -122.716438
     522.584  5035.665     2.7502E+00      45.474148 -122.711060
     520.832  5036.483     1.5230E+00      45.481564 -122.733444
     522.823  5036.226     2.1379E+00      45.479191 -122.707977
     521.989  5036.316     1.2012E+00      45.480026 -122.718643
     520.684  5037.726     8.1913E-01      45.492760 -122.735283
     522.005  5037.960     5.8584E-01      45.494823 -122.718369
     522.045  5037.118     6.5163E-01      45.487244 -122.717896
     521.084  5039.912     1.0933E+00      45.512424 -122.730072
     520.932  5038.785     8.2215E-01      45.502285 -122.732063
     520.095  5041.321     5.3770E-01      45.525131 -122.742676
     518.248  5043.822     4.5436E-01      45.547695 -122.766235
     513.294  5048.157     3.0785E-01      45.586830 -122.829575
     516.018  5056.522     2.5591E-01      45.662064 -122.794380
     510.309  5058.411     1.4935E-01      45.679176 -122.867630
     512.525  5052.651     2.1367E-01      45.627293 -122.839317
     522.225  5052.896     5.4049E-01      45.629253 -122.714874
     526.345  5050.658     1.1099E+00      45.608967 -122.662140
     521.881  5050.968     6.1321E-01      45.611908 -122.719376
     532.114  5047.655     6.9379E-01      45.581692 -122.588356
     531.224  5045.859     3.9796E+00      45.565567 -122.599876
     530.153  5045.930     1.7034E+00      45.566257 -122.613594
     530.964  5045.185     2.3193E+00      45.559517 -122.603249
     530.521  5044.360     1.4823E+00      45.552109 -122.608978
     530.064  5045.148     2.1686E+00      45.559219 -122.614784
     532.444  5045.360     1.4090E+00      45.561020 -122.584274
     531.741  5045.092     1.4551E+00      45.558640 -122.593300
     533.776  5045.204     9.1679E-01      45.559555 -122.567223
     533.128  5045.124     9.5377E-01      45.558865 -122.575531
     534.162  5044.921     7.8256E-01      45.556988 -122.562294
     534.168  5044.008     7.7927E-01      45.548771 -122.562279
     535.197  5044.975     1.1127E+00      45.557423 -122.549026
     535.330  5044.311     9.4998E-01      45.551441 -122.547371
     534.800  5043.313     9.3278E-01      45.542484 -122.554237
     534.817  5042.594     7.5644E-01      45.536015 -122.554070
     535.701  5043.415     8.0128E-01      45.543358 -122.542686
     535.676  5042.666     8.7331E-01      45.536617 -122.543060
     535.826  5041.697     9.9913E-01      45.527885 -122.541214
     534.634  5041.323     9.6235E-01      45.524582 -122.556503
     534.152  5041.900     7.9199E-01      45.529797 -122.562630
     535.055  5041.930     8.7519E-01      45.530025 -122.551064
     534.393  5040.394     1.2747E+00      45.516232 -122.559654
     534.885  5039.481     1.3939E+00      45.507988 -122.553421
     534.227  5039.460     1.0136E+00      45.507832 -122.561844
     535.771  5040.918     1.2299E+00      45.520878 -122.541969
     535.821  5040.314     1.5908E+00      45.515438 -122.541374
     535.740  5039.486     1.7955E+00      45.507988 -122.542473
     535.061  5040.607     1.6934E+00      45.518116 -122.551086
     533.455  5037.911     3.0080E+00      45.493927 -122.571831
     533.469  5038.706     2.1522E+00      45.501083 -122.571594
     534.683  5038.639     1.3704E+00      45.500420 -122.556061
     534.657  5037.834     1.5927E+00      45.493176 -122.556450
     535.737  5038.673     6.7222E+00      45.500671 -122.542572
     535.743  5037.867     2.7829E+00      45.493420 -122.542549
     535.694  5036.712     2.1583E+00      45.483025 -122.543266
     534.959  5036.664     2.9932E+00      45.482632 -122.552673
     532.513  5035.562     2.1187E+00      45.472828 -122.584045
     532.520  5034.763     1.4152E+00      45.465637 -122.584007
     531.766  5035.481     3.4422E+00      45.472134 -122.593605
     530.972  5035.461     1.8044E+00      45.471989 -122.603760
     530.283  5035.490     1.8353E+00      45.472282 -122.612572
     531.825  5034.679     2.1849E+00      45.464916 -122.592903
     531.242  5034.696     2.0853E+00      45.465092 -122.600357
     530.495  5034.650     1.5970E+00      45.464710 -122.609917
     538.615  5035.304     3.1546E+00      45.470196 -122.505997
     536.699  5035.842     3.5264E+00      45.475140 -122.530472
     536.029  5035.021     1.3372E+00      45.467785 -122.539101
     534.576  5035.044     1.0733E+00      45.468067 -122.557686
     533.394  5034.670     9.9327E-01      45.464756 -122.572830
     536.707  5037.898     2.7946E+00      45.493645 -122.530212
     536.678  5037.002     2.6671E+00      45.485584 -122.530655
     536.691  5038.697     4.1152E+00      45.500835 -122.530357
     538.844  5038.672     7.9785E-01      45.500496 -122.502800
     537.760  5038.785     1.6778E+00      45.501575 -122.516670
     538.726  5037.225     9.2177E-01      45.487480 -122.504425
     537.713  5038.097     1.6303E+00      45.495384 -122.517326
     537.277  5040.146     1.1764E+00      45.513851 -122.522751
     536.736  5040.305     1.4830E+00      45.515312 -122.529663
     536.446  5039.654     1.3698E+00      45.509464 -122.533424
     537.827  5040.646     1.6905E+00      45.518322 -122.515671
     538.033  5039.672     9.6233E-01      45.509541 -122.513107
     537.647  5039.604     1.0255E+00      45.508953 -122.518051
     538.851  5041.980     6.3258E-01      45.530273 -122.502449
     538.789  5041.346     7.2141E-01      45.524570 -122.503296
     538.769  5040.937     8.3191E-01      45.520889 -122.503586
     537.436  5041.692     1.1043E+00      45.527756 -122.520592
     536.508  5041.945     8.1574E-01      45.530083 -122.532455
     538.804  5042.884     6.6344E-01      45.538410 -122.502983
     536.649  5042.762     6.1776E-01      45.537430 -122.530594
     537.678  5042.743     5.5627E-01      45.537205 -122.517418
     537.084  5043.369     6.5377E-01      45.542870 -122.524971
     538.780  5043.835     1.1302E+00      45.546970 -122.503212
     537.770  5043.962     1.4886E+00      45.548168 -122.516144
     536.990  5044.207     7.5979E-01      45.550419 -122.526115
     536.999  5043.843     8.1621E-01      45.547138 -122.526024
     536.616  5044.627     9.8791E-01      45.554218 -122.530876
     542.088  5042.287     3.5500E-01      45.532848 -122.460968
     542.173  5041.153     3.3894E-01      45.522633 -122.459984
     541.271  5042.357     3.9623E-01      45.533524 -122.471428
     541.300  5041.142     3.8789E-01      45.522591 -122.471161
     540.079  5042.886     5.0998E-01      45.538361 -122.486649
     540.107  5041.996     4.8481E-01      45.530346 -122.486366
     539.732  5041.145     7.3079E-01      45.522705 -122.491234
     540.491  5041.142     4.6993E-01      45.522636 -122.481522
     538.715  5040.351     1.2283E+00      45.515617 -122.504318
     539.044  5039.835     8.4283E-01      45.510956 -122.500153
     538.707  5039.407     8.2302E-01      45.507122 -122.504501
     540.395  5040.435     4.7372E-01      45.516277 -122.482803
     540.613  5039.623     4.2597E-01      45.508957 -122.480080
     539.595  5040.332     6.3619E-01      45.515396 -122.493057
     539.812  5039.567     5.2877E-01      45.508499 -122.490341
     542.079  5039.944     3.3059E-01      45.511757 -122.461288
     541.267  5039.927     3.7441E-01      45.511654 -122.471687
     541.505  5038.310     3.6458E-01      45.497086 -122.468773
     540.628  5038.100     5.6104E-01      45.495247 -122.480019
     539.776  5038.796     5.2673E-01      45.501560 -122.490868
     539.876  5038.188     6.8009E-01      45.496082 -122.489632
     543.479  5038.068     2.6759E-01      45.494785 -122.443535
     542.563  5037.827     3.0386E-01      45.492676 -122.455276
     542.613  5037.056     3.0443E-01      45.485733 -122.454704
     541.764  5036.853     3.5298E-01      45.483955 -122.465584
     544.974  5038.172     2.2889E-01      45.495628 -122.424393
     545.465  5037.955     2.1755E-01      45.493645 -122.418129
     545.604  5035.464     2.0559E-01      45.471214 -122.416580
     544.515  5037.037     2.3441E-01      45.485443 -122.430367
     543.583  5036.113     2.5984E-01      45.477184 -122.442375
     542.904  5036.135     2.8939E-01      45.477421 -122.451057
     542.237  5036.173     3.2264E-01      45.477806 -122.459587
     541.228  5035.509     4.1971E-01      45.471889 -122.472557
     545.339  5038.790     2.2503E-01      45.501167 -122.419662
     544.760  5039.039     2.3812E-01      45.503448 -122.427048
     543.893  5039.098     2.5836E-01      45.504032 -122.438141
     542.816  5039.066     2.9356E-01      45.503811 -122.451927
     543.976  5042.785     3.0886E-01      45.537212 -122.436745
     543.340  5041.828     3.0456E-01      45.528641 -122.444977
     543.834  5040.313     2.7249E-01      45.514973 -122.438789
     543.007  5040.460     2.9970E-01      45.516346 -122.449364
     540.646  5046.012     4.9985E-01      45.566463 -122.479126
     542.879  5043.301     3.5943E-01      45.541924 -122.450752
     546.526  5042.799     2.4800E-01      45.537170 -122.404091
     545.689  5041.303     2.3856E-01      45.523766 -122.414948
     544.992  5042.839     2.8390E-01      45.537632 -122.423729
     544.967  5042.068     2.6549E-01      45.530693 -122.424126
     547.754  5042.956     2.3085E-01      45.538502 -122.388344
     548.594  5041.574     1.9762E-01      45.526009 -122.377724
     548.171  5042.281     2.1166E-01      45.532398 -122.383072
     547.300  5042.068     2.2087E-01      45.530540 -122.394249
     547.592  5041.433     2.0923E-01      45.524807 -122.390572
     553.053  5036.825     1.2492E-01      45.482941 -122.321144
     549.209  5039.504     1.7466E-01      45.507332 -122.370056
     549.790  5036.451     1.5329E-01      45.479813 -122.362930
     544.737  5040.396     2.4988E-01      45.515663 -122.427223
     544.750  5039.796     2.4386E-01      45.510258 -122.427109
     545.530  5040.021     2.2985E-01      45.512234 -122.417099
     546.442  5040.447     2.1742E-01      45.516006 -122.405388
     546.750  5039.573     2.0663E-01      45.508125 -122.401527
     546.202  5039.667     2.1573E-01      45.509003 -122.408531
     546.316  5038.870     2.0832E-01      45.501823 -122.407150
     546.683  5038.286     1.9861E-01      45.496544 -122.402504
     547.595  5039.777     1.9601E-01      45.509899 -122.390694
     547.151  5039.361     1.9929E-01      45.506184 -122.396416
     547.206  5038.811     1.9462E-01      45.501232 -122.395760
     547.909  5038.073     1.8076E-01      45.494545 -122.386841
     547.304  5036.559     1.8789E-01      45.480957 -122.394722
     546.466  5036.636     1.9650E-01      45.481709 -122.405441
     546.210  5037.747     2.0292E-01      45.491722 -122.408607
     547.878  5037.222     1.7840E-01      45.486885 -122.387314
     548.436  5036.255     1.9393E-01      45.478142 -122.380272
     547.933  5035.250     2.1241E-01      45.469131 -122.386810
     550.740  5043.504     2.0114E-01      45.543224 -122.350044
     554.160  5040.278     1.2794E-01      45.513931 -122.306595
     559.068  5042.909     1.1090E-01      45.537212 -122.243446
     558.694  5037.969     8.6500E-02      45.492783 -122.248833
     517.427  5041.602     2.0448E+00      45.527737 -122.776833
     517.706  5040.233     1.7188E+00      45.515404 -122.773308
     518.370  5038.736     2.2454E+00      45.501911 -122.764862
     517.124  5038.532     2.9225E+00      45.500111 -122.780815
     516.283  5039.111     1.6302E+00      45.505341 -122.791565
     519.496  5038.345     2.1034E+00      45.498367 -122.750465
     519.544  5037.435     9.7520E-01      45.490173 -122.749886
     518.578  5037.245     1.3178E+00      45.488487 -122.762253
     518.365  5037.799     1.0280E+00      45.493477 -122.764961
     518.995  5036.769     1.5986E+00      45.484192 -122.756935
     517.293  5036.239     3.1190E+00      45.479462 -122.778732
     519.228  5035.836     1.2899E+00      45.475788 -122.753990
     517.018  5034.512     2.2987E+00      45.463928 -122.782310
     518.701  5034.726     2.5555E+00      45.465813 -122.760780
     517.647  5034.275     1.6352E+00      45.461777 -122.774277
     518.154  5034.176     2.5219E+00      45.460873 -122.767792
     519.667  5034.030     1.3075E+00      45.459518 -122.748451
     518.356  5033.554     2.4984E+00      45.455273 -122.765236
     519.239  5034.244     2.0125E+00      45.461460 -122.753914
     519.206  5032.358     2.3823E+00      45.444481 -122.754410
     518.805  5033.063     1.6163E+00      45.450840 -122.759514
     519.279  5031.152     1.9910E+00      45.433624 -122.753525
     519.294  5030.045     2.1135E+00      45.423660 -122.753372
     518.244  5029.783     1.8350E+00      45.421333 -122.766808
     517.929  5029.006     1.8093E+00      45.414345 -122.770859
     517.012  5029.185     3.1329E+00      45.415977 -122.782570
     517.307  5030.049     2.0432E+00      45.423748 -122.778770
     516.607  5028.534     7.9053E-01      45.410130 -122.787773
     516.914  5028.086     1.8116E+00      45.406086 -122.783867
     517.869  5028.239     2.0047E+00      45.407440 -122.771652
     516.312  5027.428     9.1351E-01      45.400181 -122.791580
     517.995  5027.403     1.6007E+00      45.399914 -122.770073
     519.186  5028.487     1.2280E+00      45.409637 -122.754814
     517.564  5032.340     2.4594E+00      45.444363 -122.775406
     514.412  5035.409     2.0653E+00      45.472061 -122.815620
     513.894  5035.582     1.3176E+00      45.473629 -122.822243
     513.885  5034.984     1.4764E+00      45.468243 -122.822372
     514.237  5034.206     2.8645E+00      45.461235 -122.817894
     514.933  5035.240     1.6511E+00      45.470531 -122.808960
     514.458  5032.520     2.3616E+00      45.446056 -122.815117
     514.254  5033.128     2.2086E+00      45.451530 -122.817711
     514.620  5033.729     1.3855E+00      45.456932 -122.813011
     516.239  5034.475     1.6801E+00      45.463615 -122.792282
     515.797  5035.016     2.7865E+00      45.468494 -122.797913
     516.196  5035.518     2.5880E+00      45.473003 -122.792793
     515.436  5035.559     1.8560E+00      45.473389 -122.802513
     515.322  5034.270     2.0587E+00      45.461788 -122.804016
     516.113  5033.337     1.9569E+00      45.453373 -122.793930
     515.435  5033.622     2.3744E+00      45.455956 -122.802589
     515.605  5032.601     2.9856E+00      45.446758 -122.800446
     515.790  5036.234     2.2553E+00      45.479454 -122.797966
     515.436  5036.547     2.0721E+00      45.482281 -122.802483
     515.103  5036.884     2.5485E+00      45.485321 -122.806732
     514.301  5036.549     1.6996E+00      45.482323 -122.817009
     516.438  5037.413     1.7177E+00      45.490055 -122.789635
     515.955  5038.064     1.5893E+00      45.495926 -122.795792
     513.636  5038.341     2.3012E+00      45.498466 -122.825470
     514.802  5040.483     2.0265E+00      45.517723 -122.810478
     513.800  5040.623     2.2935E+00      45.519005 -122.823303
     514.517  5039.896     1.9801E+00      45.512447 -122.814148
     515.581  5039.846     1.6162E+00      45.511974 -122.800522
     515.358  5039.105     1.9029E+00      45.505306 -122.803406
     514.249  5038.936     2.4099E+00      45.503811 -122.817604
     514.644  5039.243     2.0293E+00      45.506565 -122.812538
     509.120  5044.567     1.5213E+00      45.554581 -122.883156
     510.088  5044.164     1.9849E+00      45.550941 -122.870758
     509.739  5043.658     1.2477E+00      45.546394 -122.875244
     508.595  5045.133     6.5456E-01      45.559681 -122.889870
     512.704  5042.720     2.5596E+00      45.537903 -122.837280
     513.287  5042.434     1.6529E+00      45.535316 -122.829826
     514.212  5042.498     1.6841E+00      45.535873 -122.817978
     514.472  5041.898     2.5290E+00      45.530468 -122.814659
     514.777  5040.957     1.4105E+00      45.521992 -122.810783
     514.822  5041.327     2.0543E+00      45.525322 -122.810196
     516.191  5042.349     1.9380E+00      45.534489 -122.792633
     515.586  5043.168     9.0479E-01      45.541874 -122.800354
     515.324  5041.542     2.4036E+00      45.527245 -122.803764
     509.369  5048.274     3.1951E-01      45.587944 -122.879890
     510.856  5046.328     5.6740E-01      45.570408 -122.860870
     514.060  5044.711     7.6510E-01      45.555794 -122.819855
     512.338  5044.643     1.6567E+00      45.555218 -122.841919
     510.782  5044.033     2.7420E+00      45.549751 -122.861870
     510.774  5043.184     2.8433E+00      45.542110 -122.861992
     511.493  5043.507     3.8424E+00      45.545002 -122.852776
     511.733  5043.915     2.7601E+00      45.548676 -122.849693
     511.941  5042.841     2.6518E+00      45.539001 -122.847054
     509.191  5039.290     2.6384E+00      45.507084 -122.882339
     508.699  5039.476     2.0248E+00      45.508762 -122.888641
     508.548  5038.301     1.3584E+00      45.498184 -122.890594
     508.017  5039.328     3.2624E+00      45.507439 -122.897369
     509.740  5039.005     2.3291E+00      45.504509 -122.875320
     509.883  5038.190     1.9729E+00      45.497169 -122.873505
     510.004  5039.682     2.0245E+00      45.510601 -122.871925
     509.089  5043.062     1.1769E+00      45.541035 -122.883575
     508.932  5041.286     1.6381E+00      45.525051 -122.885620
     511.034  5041.515     2.8219E+00      45.527084 -122.858704
     510.743  5042.334     1.4973E+00      45.534458 -122.862411
     510.657  5040.414     1.7895E+00      45.517178 -122.863548
     510.925  5040.751     1.7580E+00      45.520206 -122.860115
     511.917  5041.528     2.2196E+00      45.527184 -122.847389
     511.862  5040.290     2.0285E+00      45.516045 -122.848129
     512.966  5040.993     2.3115E+00      45.522350 -122.833969
     510.997  5039.544     2.6294E+00      45.509342 -122.859215
     510.906  5038.821     2.5791E+00      45.502834 -122.860397
     511.333  5038.032     2.1690E+00      45.495728 -122.854950
     510.781  5038.146     2.7178E+00      45.496761 -122.862015
     512.213  5038.857     2.0396E+00      45.503136 -122.843666
     509.896  5037.487     2.6974E+00      45.490841 -122.873352
     509.845  5036.904     3.0338E+00      45.485596 -122.874016
     508.881  5037.646     1.6117E+00      45.492287 -122.886337
     508.865  5037.015     1.7494E+00      45.486610 -122.886559
     508.788  5036.385     1.5571E+00      45.480938 -122.887550
     509.783  5036.402     2.4713E+00      45.481075 -122.874825
     510.082  5035.845     1.4259E+00      45.476063 -122.871010
     509.558  5035.666     1.0645E+00      45.474457 -122.877716
     508.813  5035.202     6.7446E-01      45.470291 -122.887253
     508.763  5035.704     7.2971E-01      45.474812 -122.887886
     511.243  5037.096     1.3965E+00      45.487305 -122.856125
     510.801  5037.204     1.7916E+00      45.488285 -122.861778
     510.726  5036.336     1.4930E+00      45.480469 -122.862755
     512.845  5037.098     1.7683E+00      45.487293 -122.835625
     512.181  5037.088     2.5681E+00      45.487213 -122.844124
     511.679  5037.064     2.1351E+00      45.487007 -122.850548
     510.053  5032.071     2.7573E-01      45.442089 -122.871452
     509.578  5034.603     1.5604E+00      45.464890 -122.877480
     511.301  5035.953     1.4813E+00      45.477016 -122.855408
     511.282  5035.211     1.1726E+00      45.470333 -122.855667
     510.678  5035.392     1.6165E+00      45.471973 -122.863396
     510.821  5034.051     4.8642E-01      45.459900 -122.861595
     512.458  5036.484     1.9519E+00      45.481773 -122.840591
     512.344  5036.045     2.1777E+00      45.477825 -122.842064
     512.207  5035.223     2.6980E+00      45.470428 -122.843834
     513.199  5036.368     1.4393E+00      45.480717 -122.831116
     513.367  5035.794     1.4626E+00      45.475544 -122.828979
     513.183  5035.141     1.1594E+00      45.469673 -122.831352
     513.246  5033.675     2.8251E+00      45.456474 -122.830589
     512.047  5034.431     1.5519E+00      45.463303 -122.845901
     512.123  5033.552     1.8723E+00      45.455387 -122.844948
     513.195  5030.978     6.8917E-01      45.432201 -122.831306
     513.186  5032.062     8.6346E-01      45.441959 -122.831398
     511.952  5031.646     5.5785E-01      45.438236 -122.847183
     516.344  5032.119     1.8123E+00      45.442406 -122.791016
     515.046  5031.339     1.2110E+00      45.435410 -122.807632
     516.263  5031.269     1.6041E+00      45.434753 -122.792076
     517.182  5030.910     1.6676E+00      45.431503 -122.780342
     515.979  5030.180     1.4808E+00      45.424961 -122.795746
     516.578  5030.056     1.7472E+00      45.423832 -122.788094
     514.120  5031.024     9.1273E-01      45.432594 -122.819481
     513.068  5029.793     6.7700E-01      45.421535 -122.832962
     515.209  5029.574     1.3039E+00      45.419525 -122.805603
     512.255  5027.756     4.2484E-01      45.403214 -122.843407
     515.381  5027.745     1.2465E+00      45.403057 -122.803467
     514.345  5028.437     9.5188E-01      45.409306 -122.816681
     514.901  5025.985     1.1813E+00      45.387222 -122.809654
     517.805  5026.515     1.4614E+00      45.391926 -122.772537
     516.799  5025.009     7.2365E-01      45.378391 -122.785439
     517.915  5024.578     1.1577E+00      45.374489 -122.771202
     519.427  5025.890     1.2918E+00      45.386257 -122.751839
     519.648  5025.311     1.2391E+00      45.381039 -122.749039
     513.186  5024.101     4.2774E-01      45.370300 -122.831612
     510.689  5020.214     1.6887E-01      45.335350 -122.863579
     513.620  5022.456     3.9971E-01      45.355484 -122.826111
     515.618  5023.087     4.1010E-01      45.361122 -122.800583
     518.226  5023.876     1.5909E+00      45.368160 -122.767258
     518.911  5023.086     9.4220E-01      45.361031 -122.758537
     517.651  5021.283     1.2839E+00      45.344837 -122.774689
     510.311  5025.219     2.2758E-01      45.380413 -122.868301
     506.117  5026.486     1.6776E-01      45.391861 -122.921852
     506.401  5022.441     1.2529E-01      45.355450 -122.918274
     501.896  5025.946     1.1859E-01      45.387024 -122.975777
     506.737  5032.739     2.8502E-01      45.448143 -122.913849
     502.838  5040.532     1.6906E+00      45.518318 -122.963661
     503.276  5040.872     1.9938E+00      45.521374 -122.958054
     502.570  5040.356     2.3046E+00      45.516731 -122.967094
     502.217  5040.228     2.0548E+00      45.515583 -122.971611
     502.760  5039.754     1.9733E+00      45.511314 -122.964668
     503.543  5039.439     2.6320E+00      45.508472 -122.954643
     504.868  5040.765     1.3026E+00      45.520405 -122.937668
     503.992  5041.083     1.6542E+00      45.523270 -122.948883
     503.643  5040.342     2.9753E+00      45.516602 -122.953354
     504.430  5040.284     2.4346E+00      45.516075 -122.943283
     504.499  5039.518     1.7403E+00      45.509182 -122.942406
     505.843  5040.742     1.1120E+00      45.520187 -122.925186
     507.140  5040.798     1.1793E+00      45.520679 -122.908577
     504.811  5038.919     1.3439E+00      45.503784 -122.938416
     505.704  5039.077     1.7745E+00      45.505203 -122.926987
     506.520  5038.530     1.1627E+00      45.500271 -122.916542
     506.886  5039.265     1.1972E+00      45.506886 -122.911850
     501.739  5040.392     2.1876E+00      45.517059 -122.977737
     500.218  5040.496     1.1035E+00      45.517998 -122.997208
     501.353  5038.891     6.9836E-01      45.503551 -122.982681
     503.360  5038.627     1.7005E+00      45.501167 -122.956993
     502.863  5037.295     4.9021E-01      45.489178 -122.963364
     502.653  5045.481     4.8649E-01      45.562862 -122.966003
     500.901  5043.366     9.5593E-01      45.543831 -122.988457
     501.122  5042.201     1.1543E+00      45.533344 -122.985626
     502.057  5041.337     1.4846E+00      45.525562 -122.973656
     501.530  5041.234     3.5856E+00      45.524639 -122.980408
     500.954  5041.210     2.1974E+00      45.524422 -122.987785
     500.085  5041.182     1.0354E+00      45.524174 -122.998909
     500.155  5042.116     8.3332E-01      45.532581 -122.998016
     502.427  5043.359     1.5810E+00      45.543762 -122.968910
     502.422  5042.668     1.7347E+00      45.537544 -122.968979
     504.581  5042.905     1.1297E+00      45.539665 -122.941322
     506.799  5043.561     5.1808E-01      45.545551 -122.912903
     502.235  5042.312     2.0927E+00      45.534340 -122.971375
     503.074  5042.238     2.1474E+00      45.533669 -122.960632
     501.997  5041.852     2.1663E+00      45.530201 -122.974426
     502.545  5041.289     2.2666E+00      45.525131 -122.967407
     503.158  5041.447     3.0074E+00      45.526550 -122.959557
     504.239  5048.085     2.3747E-01      45.586292 -122.945656
     502.398  5053.806     1.1760E-01      45.637798 -122.969231
     498.036  5063.018     5.1049E-02      45.720715 -123.025238
     496.188  5047.998     1.5082E-01      45.585514 -123.048866
     495.520  5044.700     2.2963E-01      45.555824 -123.057396
     495.264  5042.522     4.1460E-01      45.536217 -123.060661
     497.435  5041.530     8.0251E-01      45.527298 -123.032845
     494.468  5039.344     5.3709E-01      45.507610 -123.070816
     497.864  5039.383     4.7353E-01      45.507973 -123.027344
     497.328  5035.652     1.8954E-01      45.474388 -123.034187
     491.493  5033.700     1.0622E-01      45.456776 -123.108803
     496.323  5029.709     9.0919E-02      45.420891 -123.046997
     502.432  5034.426     2.4289E-01      45.463356 -122.968887
     492.559  5040.366     8.2445E-01      45.516788 -123.095268
     491.700  5039.916     1.7643E+00      45.512730 -123.106262
     491.054  5038.617     5.0623E-01      45.501030 -123.114510
     492.937  5042.242     5.8927E-01      45.533680 -123.090454
     488.967  5042.231     1.5965E-01      45.533527 -123.141304
     487.667  5047.638     8.4052E-02      45.582176 -123.158089
     493.458  5055.491     6.7261E-02      45.652939 -123.083961
     487.896  5053.247     5.8266E-02      45.632664 -123.155289
     486.469  5038.062     6.7352E-02      45.495956 -123.173180
     485.112  5033.781     5.7995E-02      45.457394 -123.190414
     500.941  5018.142     2.7851E-01      45.316784 -122.987991
     502.683  5018.436     7.1954E-01      45.319424 -122.965767
     504.792  5017.814     2.6002E-01      45.313816 -122.938866
     506.954  5016.106     1.1693E-01      45.298420 -122.911308
     503.608  5017.714     1.6679E+00      45.312920 -122.953972
     503.428  5016.897     2.0759E+00      45.305569 -122.956276
     501.463  5016.576     6.3004E-01      45.302689 -122.981339
     502.297  5016.575     7.6881E-01      45.302677 -122.970703
     502.340  5015.578     5.9267E-01      45.293701 -122.970154
     502.131  5015.015     5.2452E-01      45.288635 -122.972824
     503.559  5015.819     6.1551E-01      45.295864 -122.954613
     496.646  5023.344     7.2762E-02      45.363602 -123.042824
     497.119  5017.372     8.3792E-02      45.309849 -123.036751
     499.769  5014.000     3.7462E-01      45.279499 -123.002945
     494.627  5013.170     5.2432E-02      45.272007 -123.068497
     491.584  5011.249     2.6201E-01      45.254684 -123.107254
     483.545  5031.116     4.9277E-02      45.433376 -123.210373
     488.360  5023.895     5.2673E-02      45.368473 -123.148643
     487.965  5014.080     5.4801E-02      45.280117 -123.153450
     498.217  5010.282     7.5790E-02      45.246033 -123.022720
     522.086  5070.520     2.1429E-01      45.787888 -122.715851
     528.704  5069.211     2.2985E-01      45.775860 -122.630791
     528.614  5064.788     9.2784E-01      45.736057 -122.632210
     533.115  5070.070     5.1757E-01      45.783394 -122.573997
     537.519  5070.916     6.4640E-01      45.790787 -122.517273
     536.980  5069.014     6.8162E-01      45.773697 -122.524353
     533.994  5066.553     3.4614E-01      45.751701 -122.562935
     551.662  5067.000     4.6649E-02      45.754627 -122.335739
     541.262  5067.272     1.2386E-01      45.757774 -122.469429
     552.785  5056.015     8.6594E-02      45.655678 -122.322495
     555.216  5046.141     2.8905E-01      45.566620 -122.292412
     552.570  5048.280     4.9456E-01      45.586071 -122.326088
