 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     530.083  5042.201     5.7477E+00      45.532696 -122.614723
     530.841  5043.678     7.5323E+00      45.545959 -122.604919
     530.850  5043.154     5.8998E+00      45.541237 -122.604843
     530.827  5042.753     5.9819E+00      45.537632 -122.605156
     530.849  5042.465     6.5465E+00      45.535038 -122.604897
     530.839  5042.022     7.3946E+00      45.531052 -122.605049
     532.599  5044.490     4.4463E+00      45.553188 -122.582352
     532.123  5044.349     4.9074E+00      45.551937 -122.588455
     531.469  5043.887     8.0188E+00      45.547810 -122.596863
     531.449  5044.393     6.3075E+00      45.552364 -122.597092
     532.652  5043.997     5.8206E+00      45.548744 -122.581703
     532.326  5043.698     7.0350E+00      45.546070 -122.585899
     532.501  5043.026     5.3634E+00      45.540012 -122.583702
     531.659  5042.680     4.9995E+00      45.536938 -122.594505
     531.657  5043.418     5.5405E+00      45.543579 -122.594482
     533.738  5043.764     4.4377E+00      45.546597 -122.567810
     533.590  5042.537     4.3478E+00      45.535561 -122.569786
     533.126  5042.751     4.8189E+00      45.537506 -122.575714
     533.168  5043.593     4.4388E+00      45.545082 -122.575119
     529.243  5045.292     2.0841E+01      45.560551 -122.625298
     529.241  5044.783     8.5715E+00      45.555973 -122.625351
     529.788  5044.297     9.3487E+00      45.551571 -122.618370
     529.182  5044.246     8.3318E+00      45.551140 -122.626137
     528.448  5045.327     2.1142E+01      45.560902 -122.635483
     528.446  5044.915     6.6766E+00      45.557194 -122.635529
     528.510  5044.493     7.5219E+00      45.553394 -122.634735
     528.393  5044.111     7.4730E+00      45.549957 -122.636253
     527.699  5045.325     1.7772E+01      45.560913 -122.645081
     527.698  5044.914     7.5460E+00      45.557213 -122.645111
     527.709  5044.546     8.0352E+00      45.553898 -122.644997
     527.649  5044.156     5.9366E+00      45.550392 -122.645782
     527.172  5045.073     1.3898E+01      45.558666 -122.651840
     526.698  5044.968     2.3200E+01      45.557735 -122.657921
     526.772  5045.364     1.4283E+01      45.561298 -122.656952
     527.091  5044.298     6.8219E+00      45.551693 -122.652924
     526.663  5044.308     1.2405E+01      45.551800 -122.658409
     526.154  5045.313     8.4210E+00      45.560863 -122.664871
     526.172  5044.862     2.5037E+01      45.556801 -122.664665
     525.688  5044.803     1.6518E+01      45.556293 -122.670876
     525.602  5045.221     8.5691E+00      45.560059 -122.671951
     526.229  5044.262     1.3664E+01      45.551403 -122.663971
     525.856  5044.259     2.1546E+01      45.551388 -122.668747
     525.524  5044.245     1.7913E+01      45.551277 -122.673004
     525.238  5045.107     1.2251E+01      45.559044 -122.676620
     524.949  5045.138     9.0494E+00      45.559334 -122.680321
     524.337  5044.997     1.3108E+01      45.558086 -122.688171
     524.330  5045.360     8.6238E+00      45.561352 -122.688240
     525.115  5044.323     1.0478E+01      45.551994 -122.678238
     524.648  5044.515     9.1587E+00      45.553738 -122.684212
     524.646  5044.134     7.6140E+00      45.550304 -122.684258
     526.772  5047.152     6.6076E+00      45.577393 -122.656853
     526.920  5046.729     1.3213E+01      45.573582 -122.654984
     526.873  5046.332     7.3060E+00      45.570007 -122.655609
     526.674  5045.825     1.2690E+01      45.565456 -122.658180
     527.119  5045.832     8.4395E+00      45.565498 -122.652481
     528.586  5046.241     7.1067E+00      45.569122 -122.633659
     528.173  5045.966     6.3847E+00      45.566662 -122.638969
     527.617  5045.963     6.8382E+00      45.566658 -122.646095
     527.745  5046.749     2.1228E+01      45.573727 -122.644409
     529.243  5046.411     9.5211E+00      45.570625 -122.625229
     529.243  5045.857     1.6013E+01      45.565636 -122.625259
     526.147  5047.233     6.0952E+00      45.578144 -122.664864
     526.147  5046.569     7.2549E+00      45.572166 -122.664894
     525.628  5046.642     1.1051E+01      45.572845 -122.671547
     525.643  5047.399     7.4737E+00      45.579659 -122.671310
     526.136  5046.124     8.0647E+00      45.568165 -122.665062
     526.139  5045.719     6.6254E+00      45.564522 -122.665047
     525.621  5045.908     7.6203E+00      45.566242 -122.671677
     525.043  5047.550     1.9760E+01      45.581039 -122.678993
     524.612  5047.458     1.0963E+01      45.580227 -122.684525
     524.215  5047.618     1.0491E+01      45.581684 -122.689606
     525.104  5046.713     3.1000E+01      45.573502 -122.678253
     524.608  5046.713     1.3271E+01      45.573521 -122.684616
     524.213  5046.717     2.0973E+01      45.573570 -122.689674
     525.238  5045.915     1.1937E+01      45.566319 -122.676582
     524.945  5045.909     1.2194E+01      45.566277 -122.680336
     524.562  5045.908     7.8413E+00      45.566280 -122.685242
     524.076  5045.907     9.9814E+00      45.566288 -122.691475
     523.582  5048.139     1.1477E+01      45.586395 -122.697693
     523.813  5047.485     1.7176E+01      45.580498 -122.694763
     523.312  5047.494     1.8473E+01      45.580597 -122.701187
     522.649  5047.526     8.0990E+00      45.580906 -122.709686
     522.719  5048.328     7.4229E+00      45.588123 -122.708748
     523.856  5046.710     2.8738E+01      45.573521 -122.694252
     523.675  5045.950     1.4359E+01      45.566689 -122.696609
     523.501  5046.728     2.9090E+01      45.573696 -122.698799
     522.837  5046.987     6.4533E+00      45.576046 -122.707298
     521.842  5048.726     1.0050E+01      45.591732 -122.719971
     522.050  5047.785     1.0079E+01      45.583260 -122.717346
     521.466  5047.943     9.4305E+00      45.584698 -122.724831
     521.374  5048.376     6.5103E+00      45.588596 -122.725990
     521.265  5046.591     9.2432E+00      45.572533 -122.727463
     521.630  5047.191     1.2937E+01      45.577923 -122.722755
     521.281  5047.238     1.8666E+01      45.578354 -122.727226
     521.089  5047.366     1.3528E+01      45.579517 -122.729683
